Date,S&P_500,Communication,Cons_Disc,Cons_Staples,Energy,Financials,Healthcare,Industrials,Info_Tech,Materials,Real_Estate,Utilities
2011-05-18,0.008803744,0.002905894,0.01150879,0.001962264,0.019729093,0.004921721,0.00776364,0.011083359,0.007464119,0.021026854,0.011489965,-0.003356287
2011-05-19,0.002177999,0.006315007,0.003313328,0.005212413,0.001245308,0.000559728,-0.002139953,0.00676239,0.001357886,0.000496237,0.001844066,0.002032166
2011-05-20,-0.0076883,-0.00073828,-0.00950215,-0.003386986,-0.002613696,-0.01468463,-0.00814926,-0.009968102,-0.00716087,-0.009878482,-0.011412163,-0.000289721
2011-05-23,-0.011925566,-0.006501662,-0.009373132,-0.006827068,-0.014783489,-0.013294852,-0.009801802,-0.013600173,-0.015143891,-0.009851805,-0.01281001,-0.011939952
2011-05-24,-0.000827406,0.004759426,-0.005270678,-0.001029585,0.013391056,-0.001486454,-0.003372395,-0.006281407,-0.004087492,0.004679793,0.004752923,-0.001701179
2011-05-25,0.003183213,-0.006661239,0.000127677,-0.006820455,0.014535515,0.000480215,0.00136326,0.007774968,0.004592871,0.013932018,0.00473044,-0.002996827
2011-05-26,0.003953138,0.006109828,0.008074554,0.001556586,0.005316966,0.004847845,-0.000534837,0.003481152,0.005471657,0.001614105,0.013302444,-0.000825131
2011-05-27,0.004080894,0.002592017,0.0031343,0.003047387,0.002040997,0.008120373,0.000802685,0.004094134,0.005054903,0.010288831,-7.38E-05,0.000884799
2011-05-31,0.010592743,0.007091151,0.006501499,0.009053623,0.010396741,0.009665956,0.011957711,0.010115787,0.015617856,0.010429448,0.016964154,0.006836398
2011-06-01,-0.022784716,-0.014009095,-0.022827757,-0.010778912,-0.023068698,-0.034820968,-0.013713764,-0.032077158,-0.021822576,-0.030601093,-0.029881056,-0.010828846
2011-06-02,-0.001224754,-0.004314513,-0.002278343,-0.011231167,-0.00177639,0.001555891,-0.00209419,0.004011206,0.001211152,0.001294417,-0.0059061,-0.00278123
2011-06-03,-0.00973388,-0.01658573,-0.013829924,-0.009080835,0.00030558,-0.0067479,-0.009419229,-0.013063606,-0.014080759,-0.013010842,0.004512296,-0.007061476
2011-06-06,-0.010760214,-0.009876168,-0.009784098,-0.004783946,-0.020251936,-0.019892473,-0.006281717,-0.007678468,-0.006870997,-0.009379753,-0.016021562,-0.004780972
2011-06-07,-0.000956328,-0.002455306,0.001218629,-0.002060118,-0.001247203,-0.001944846,0.002330251,-0.00090653,-0.003681649,0.00319884,0.015597657,0.001261034
2011-06-08,-0.004186966,0.001769095,-0.008125267,9.38E-05,0.004223748,-0.009393425,0.000643039,-0.007485661,-0.008233719,-0.00956592,-0.003970632,0.001379393
2011-06-09,0.007377536,-0.000844595,0.007694349,0.005285545,0.012361934,0.011903561,0.00976297,0.00705237,0.0008002,0.015839629,-0.009702896,0.000539019
2011-06-10,-0.013979829,-0.007146699,-0.018430753,-0.011293283,-0.018786127,-0.007078058,-0.01774612,-0.015497341,-0.014916796,-0.012507923,-0.024760747,-0.005746438
2011-06-13,0.000668775,0.006656347,-0.001575912,0.003335431,-0.013659794,0.010391566,0.003762865,0.000790358,-0.000152188,-0.005520134,0.003037383,0.003792896
2011-06-14,0.012611748,0.005766569,0.017362394,0.010380731,0.019877562,0.005067819,0.008962264,0.01816387,0.013115503,0.018846816,0.015684448,0.004018473
2011-06-15,-0.017431884,-0.012919502,-0.014788407,-0.014898966,-0.022308438,-0.021899254,-0.013287075,-0.014607976,-0.018429487,-0.02293268,-0.018194328,-0.012246117
2011-06-16,0.001754358,0.001471499,-0.002110836,0.007877241,0.002620545,0.005711109,0.001496222,0.00291899,-0.003214286,-0.009379728,0.007864206,0.0081645
2011-06-17,0.003045029,0.007733354,0.006883121,0.005470973,-0.002595027,0.009196442,0.00219118,0.00389156,-0.002712801,-0.000349071,0.010738566,0.006358728
2011-06-20,0.005395203,0.005525286,0.008670135,0.006995834,0.003724848,-0.000746938,0.010261124,0.008046127,0.003387395,0.007987778,0.01085378,0.005543634
2011-06-21,0.013423449,0.00808975,0.020100503,-0.001389446,0.018256751,0.013803757,0.006099061,0.015705284,0.019462916,0.025895293,0.00831758,0.000770644
2011-06-22,-0.006468445,-0.005148005,-0.008004926,-0.006554944,-0.004303793,-0.006586709,-0.006159863,-0.005917725,-0.008228594,-0.003756701,-0.004949381,-0.006871224
